Entity,Code,Year,Population (historical)
Africa,,1842,102949818
Africa,,1843,104093942
Africa,,1844,105258529
Africa,,1845,106444013
Africa,,1846,107650802
Africa,,1847,108879329
Africa,,1848,110130035
Africa,,1849,111271621
Africa,,1850,112301163
Africa,,1851,112964625
Africa,,1852,113506374
Africa,,1853,113925748
Africa,,1854,114348862
Africa,,1855,114775726
Africa,,1856,115206465
Africa,,1857,115641146
Africa,,1858,116079843
Africa,,1859,116531294
Africa,,1860,116995450
Africa,,1861,117468679
Africa,,1862,117954363
Africa,,1863,118452604
Africa,,1864,118954681
Africa,,1865,119460616
Africa,,1866,119970440
Africa,,1867,120484192
Africa,,1868,121001894
Africa,,1869,121535848
Africa,,1870,122086255
Africa,,1871,122649582
Africa,,1872,123231396
Africa,,1873,123830278
Africa,,1874,124434132
Africa,,1875,125042995
Africa,,1876,125656913
Africa,,1877,126275921
Africa,,1878,126900066
Africa,,1879,127539564
Africa,,1880,128194527
Africa,,1881,128863890
Africa,,1882,129548955
Africa,,1883,130249836
Africa,,1884,130956522
Africa,,1885,131669056
Africa,,1886,132387485
Africa,,1887,133111879
Africa,,1888,133842280
Africa,,1889,134489847
Africa,,1890,135054738
Africa,,1891,135539040
Africa,,1892,135941070
Africa,,1893,136260909
Africa,,1894,136587590
Africa,,1895,136921163
Africa,,1896,137261683
Africa,,1897,137609187
Africa,,1898,137963724
Africa,,1899,138345391
Africa,,1900,138755559
Africa,,1901,139195205
Africa,,1902,139666271
Africa,,1903,140170120
Africa,,1904,140688001
Africa,,1905,141220048
Africa,,1906,141766391
Africa,,1907,142327180
Africa,,1908,142902543
Africa,,1909,143483346
Africa,,1910,144068383
Africa,,1911,144655670
Africa,,1912,145245400
Africa,,1913,145835662
Africa,,1914,146434524
Africa,,1915,147042086
Africa,,1916,147658424
Africa,,1917,148283643
Africa,,1918,148892208
Africa,,1919,149751440
Africa,,1920,150865200
Africa,,1921,152239781
Africa,,1922,153876862
Africa,,1923,155780482
Africa,,1924,157712366
Africa,,1925,159672951
Africa,,1926,161662674
Africa,,1927,163681990
Africa,,1928,165731367
Africa,,1929,167813287
Africa,,1930,169928217
Africa,,1931,172076932
Africa,,1932,174259628
Africa,,1933,176476818
Africa,,1934,178726971
Africa,,1935,181010603
Africa,,1936,183328236
Africa,,1937,185680386
Africa,,1938,188067589
Africa,,1939,190609541
Africa,,1940,193310936
Africa,,1941,196179606
Africa,,1942,199217449
Africa,,1943,202429523
Africa,,1944,205701845
Africa,,1945,209035597
Africa,,1946,212431973
Africa,,1947,215892205
Africa,,1948,219417537
Africa,,1949,223283535
Africa,,1950,227776838
Africa,,1951,232557383
Africa,,1952,237539907
Africa,,1953,242685413
Africa,,1954,248006202
Africa,,1955,253538227
Africa,,1956,259271778
Africa,,1957,265129071
Africa,,1958,271042087
Africa,,1959,277271966
Africa,,1960,283922289
Africa,,1961,290814083
Africa,,1962,297959967
Africa,,1963,305371382
Africa,,1964,313060731
Africa,,1965,321013569
Africa,,1966,329252360
Africa,,1967,337851070
Africa,,1968,346800965
Africa,,1969,356032572
Africa,,1970,365552194
Africa,,1971,375326467
Africa,,1972,385312221
Africa,,1973,395821972
Africa,,1974,406870347
Africa,,1975,418433494
Africa,,1976,430496972
Africa,,1977,442660474
Africa,,1978,455539246
Africa,,1979,469198447
Africa,,1980,483051703
Africa,,1981,497620997
Africa,,1982,512958818
Africa,,1983,528232712
Africa,,1984,543638102
Africa,,1985,559664031
Africa,,1986,575967283
Africa,,1987,592601301
Africa,,1988,609387686
Africa,,1989,626359180
Africa,,1990,643775320
Africa,,1991,661103806
Africa,,1992,678558076
Africa,,1993,696621727
Africa,,1994,714502658
Africa,,1995,732695476
Africa,,1996,751473728
Africa,,1997,770384702
Africa,,1998,789981698
Africa,,1999,810079818
Africa,,2000,830582806
Africa,,2001,851690329
Africa,,2002,873411364
Africa,,2003,895734453
Africa,,2004,918778450
Africa,,2005,942546623
Africa,,2006,966932346
Africa,,2007,992055831
Africa,,2008,1018065513
Africa,,2009,1044777740
Africa,,2010,1072216718
Africa,,2011,1100148882
Africa,,2012,1128843697
Africa,,2013,1158780551
Africa,,2014,1189220573
Africa,,2015,1220075728
Africa,,2016,1251208654
Africa,,2017,1282902302
Africa,,2018,1315409965
Africa,,2019,1348005687
Africa,,2020,1380821355
Africa,,2021,1413753270
Africa,,2022,1446883817
Africa,,2023,1480770740
Africa (UN),,1950,227776419
Africa (UN),,1951,232556971
Africa (UN),,1952,237539544
Africa (UN),,1953,242685066
Africa (UN),,1954,248005818
Africa (UN),,1955,253537850
Africa (UN),,1956,259271439
Africa (UN),,1957,265128663
Africa (UN),,1958,271041739
Africa (UN),,1959,277271607
Africa (UN),,1960,283921952
Africa (UN),,1961,290813750
Africa (UN),,1962,297959631
Africa (UN),,1963,305371042
Africa (UN),,1964,313060398
Africa (UN),,1965,321013250
Africa (UN),,1966,329251993
Africa (UN),,1967,337850713
Africa (UN),,1968,346800643
Africa (UN),,1969,356032260
Africa (UN),,1970,365551874
Africa (UN),,1971,375326099
Africa (UN),,1972,385311883
Africa (UN),,1973,395821648
Africa (UN),,1974,406869977
Africa (UN),,1975,418433160
Africa (UN),,1976,430496629
Africa (UN),,1977,442660133
Africa (UN),,1978,455538925
Africa (UN),,1979,469198175
Africa (UN),,1980,483051387
Africa (UN),,1981,497620643
Africa (UN),,1982,512958551
Africa (UN),,1983,528232408
Africa (UN),,1984,543637781
Africa (UN),,1985,559663771
Africa (UN),,1986,575967004
Africa (UN),,1987,592601033
Africa (UN),,1988,609387393
Africa (UN),,1989,626358876
Africa (UN),,1990,643775030
Africa (UN),,1991,661103507
Africa (UN),,1992,678557822
Africa (UN),,1993,696621490
Africa (UN),,1994,714502385
Africa (UN),,1995,732695149
Africa (UN),,1996,751473491
Africa (UN),,1997,770384412
Africa (UN),,1998,789981456
Africa (UN),,1999,810079553
Africa (UN),,2000,830582527
Africa (UN),,2001,851690082
Africa (UN),,2002,873411063
Africa (UN),,2003,895734225
Africa (UN),,2004,918778215
Africa (UN),,2005,942546391
Africa (UN),,2006,966932135
Africa (UN),,2007,992055602
Africa (UN),,2008,1018065273
Africa (UN),,2009,1044777532
Africa (UN),,2010,1072216499
Africa (UN),,2011,1100148605
Africa (UN),,2012,1128843456
Africa (UN),,2013,1158780288
Africa (UN),,2014,1189220347
Africa (UN),,2015,1220075494
Africa (UN),,2016,1251208463
Africa (UN),,2017,1282902108
Africa (UN),,2018,1315409781
Africa (UN),,2019,1348005491
Africa (UN),,2020,1380821159
Africa (UN),,2021,1413753053
Africa (UN),,2022,1446883651
Africa (UN),,2023,1480770527
